9219438,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219438.jpg,maria.chavez@congreso.gob.mx,MarÌ_a ChÌÁvez GarcÌ_a,MORENA,Distrito Federal,DipsMorenaMx
9219440,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219440.jpg,vidal.llerenas@congreso.gob.mx,Vidal Llerenas Morales,MORENA,Distrito Federal,vidallerenas
9219448,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219448.jpg,nhernandez.colin@congreso.gob.mx,Norma XÌ_chitl HernÌÁndez ColÌ_n,MORENA,Distrito Federal,XochitlMorena
9219480,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219480.jpg,maria.cardenas@congreso.gob.mx,MarÌ_a Antonia CÌÁrdenas Mariscal,MORENA,Jalisco,DipsMorenaMx
9219486,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219486.jpg,mariana.trejo@congreso.gob.mx,Mariana Trejo Flores,MORENA,Zacatecas,DipsMorenaMx
9219488,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219488.jpg,irma.lopez@congreso.gob.mx,Irma Rebeca LÌ_pez LÌ_pez,MORENA,Distrito Federal,diputadaIrmaLL
9219490,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219490.jpg,rodrigo.abdala@congreso.gob.mx,Rodrigo Abdala Dartigues,MORENA,Puebla,RodrigoAbdalaD
9219492,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219492.jpg,blanca.cuata@congreso.gob.mx,Blanca Margarita Cuata DomÌ_nguez,MORENA,Morelos,BlancaCuata
9219499,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219499.jpg,S/C,ElÌ_as Ojeda Aquino,MORENA,Oaxaca,Dip_EliasOjeda
9219500,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219500.jpg,miguel.alvay@congreso.gob.mx,Miguel Alva y Alva,MORENA,Puebla,y_alva_miguel
9219502,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219502.jpg,laura.esquivel@congreso.gob.mx,Laura Beatriz Esquivel ValdÌ©s,MORENA,Distrito Federal,lauraesquivel27
9219504,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219504.jpg,roberto.guzman@congreso.gob.mx,Roberto GuzmÌÁn Jacobo,MORENA,Guerrero,robertoguzmanj
9219506,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219506.jpg,blandina.ramos@congreso.gob.mx,Blandina Ramos RamÌ_rez,MORENA,Puebla,BlandinaRamosR
9219508,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219508.jpg,mario.juarez@congreso.gob.mx,Mario Ariel JuÌÁrez RodrÌ_guez,MORENA,M&#xE9;xico,Arieljr75
9219512,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219512.jpg,jserrano.lora@congreso.gob.mx,JesÌ¼s Serrano Lora,MORENA,M&#xE9;xico,JesusSerranoMx
9219518,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219518.jpg,modesta.fuentes@congreso.gob.mx,Modesta Fuentes Alonso,MORENA,Oaxaca,DipsMorenaMx
9219520,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219520.jpg,guillermo.santiago@congreso.gob.mx,Guillermo Rafael Santiago RodrÌ_guez,MORENA,Chiapas,GSDiputado
9219522,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219522.jpg,guadalupe.hernandez@congreso.gob.mx,Guadalupe HernÌÁndez Correa,MORENA,Tabasco,DipsMorenaMx
9219556,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219556.jpg,cuitlahuac.garcia@congreso.gob.mx,CuitlÌÁhuac GarcÌ_a JimÌ©nez,MORENA,Veracruz,CuitlahuacGJ
9219558,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219558.jpg,norma.nahle@congreso.gob.mx,Norma RocÌ_o Nahle GarcÌ_a,MORENA,Veracruz,rocionahle
9219658,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219658.jpg,patricia.aceves@congreso.gob.mx,Patricia Elena Aceves Pastrana,MORENA,Distrito Federal,DipsMorenaMx
9219660,diputado,"[{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219660.jpg,ernestina.godoy@congreso.gob.mx,Ernestina Godoy Ramos,MORENA,Distrito Federal,ErnestinaGodoy_
9219662,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219662.jpg,alicia.barrientos@congreso.gob.mx,Alicia Barrientos Pantoja,MORENA,Distrito Federal,aliciabp24
9219688,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219688.jpg,araceli.damian@congreso.gob.mx,Araceli DamiÌÁn GonzÌÁlez,MORENA,Distrito Federal,AraceliDMorena
9219690,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219690.jpg,renato.molina@congreso.gob.mx,Renato Josafat Molina Arias,MORENA,Distrito Federal,renatom_morena
9219760,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219760.jpg,,Magdalena Moreno Vega,MORENA,M&#xE9;xico,DipsMorenaMx
9219763,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219763.jpg,sandra.falcon@congreso.gob.mx,Sandra Luz FalcÌ_n Venegas,MORENA,M&#xE9;xico,Sandra_FalconV
9219323,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219323.jpg,clemente.castaneda@congreso.gob.mx,JosÌ© Clemente CastaÌ±eda Hoeflich,MC,Jalisco,ClementeCH
9219325,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219325.jpg,gustavo.cardenas@congreso.gob.mx,Gustavo Adolfo CÌÁrdenas GutiÌ©rrez,MC,Tamaulipas,GustavoCarG
9219327,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219327.jpg,elena.orantes@congreso.gob.mx,MarÌ_a Elena Orantes LÌ_pez,MC,Chiapas,nenaorantes
9219393,diputado,"[{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219393.jpg,manuel.espino@congreso.gob.mx,Manuel de JesÌ¼s Espino Barrientos,Sin Partido,M&#xE9;xico,ManuelEspino
9219410,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219410.jpg,macedonio.tamez@congreso.gob.mx,Macedonio SalomÌ_n Tamez Guajardo,MC,Jalisco,MacedonioTamez
9219414,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219414.jpg,luis.munguia@congreso.gob.mx,Luis Ernesto MunguÌ_a GonzÌÁlez,MC,Jalisco,LuisEMunguia
9219416,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219416.jpg,mirza.flores@congreso.gob.mx,Mirza Flores GÌ_mez,MC,Jalisco,MirzaFloresG
9219418,diputado,[],MR,/Archivos/Fotos/9219418.jpg,veronica.delgadillo@congreso.gob.mx,VerÌ_nica Delgadillo GarcÌ_a,MC,Jalisco,VeroDelgadilloG
9219420,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219420.jpg,maria.ochoa@congreso.gob.mx,MarÌ_a Candelaria Ochoa Ìvalos,MC,Jalisco,CandeOchoaA
9219422,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219422.jpg,jonadab.martinez@congreso.gob.mx,Jonadab MartÌ_nez GarcÌ_a,MC,Jalisco,jonadabmartinez
9219424,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219424.jpg,salvador.zamora@congreso.gob.mx,Salvador Zamora Zamora,MC,Jalisco,SalvadorZamoraZ
9219426,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219426.jpg,alba.ramirez@congreso.gob.mx,Rosa Alba RamÌ_rez Nachis,MC,Jalisco,NachisMC
9219428,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219428.jpg,victormanuel.sanchez@congreso.gob.mx,VÌ_ctor Manuel SÌÁnchez Orozco,MC,Jalisco,victorsanoro
9219430,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9219430.jpg,german.ralis@congreso.gob.mx,GermÌÁn Ernesto Ralis Cumplido,MC,Jalisco,germanralis
9219636,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219636.jpg,rene.cervera@congreso.gob.mx,RenÌ© Cervera GarcÌ_a,MC,Distrito Federal,renecervera
9219640,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219640.jpg,marbella.toledo@congreso.gob.mx,Marbella Toledo Ibarra,MC,Guerrero,MovCiudadanoMX
9219642,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219642.jpg,angie.hauffen@congreso.gob.mx,Angie Denisse Hauffen Torres,MC,M&#xE9;xico,DennisseHauffen
9219644,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219644.jpg,claudia.corichi@congreso.gob.mx,Claudia SofÌ_a Corichi GarcÌ_a,MC,Zacatecas,ClauCorichi
9219668,diputado,"[{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219668.jpg,carlos.lomeli@congreso.gob.mx,Carlos LomelÌ_ BolaÌ±os,MORENA,Jalisco,drcarloslomeli
9219672,diputado,"[{""legislator_post_sil"":""Secretario""}]",RP,/Archivos/Fotos/9219672.jpg,moises.guerra@congreso.gob.mx,MoisÌ©s Guerra Mota,MC,Nayarit,moisesguerram
9219674,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219674.jpg,victoria.mercado@congreso.gob.mx,MarÌ_a Victoria Mercado SÌÁnchez,MC,Jalisco,vickymercados
9219678,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219678.jpg,jorge.alvarez@congreso.gob.mx,Jorge Ìlvarez Maynez,MC,Jalisco,AlvarezMaynez
9219778,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9219778.jpg,adan.perez@congreso.gob.mx,AdÌÁn PÌ©rez Utrera,MC,Distrito Federal,MovCiudadanoMX
9218417,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218417.jpg,,Luis Fernando Mesta SoulÌ©,PAN,Chihuahua,LuisF_Mesta
9218418,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218418.jpg,maria.talavera@congreso.gob.mx,MarÌ_a EloÌ_sa Talavera HernÌÁndez,PAN,Baja California,eloisatalavera
9218420,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218420.jpg,luis.rodriguez@congreso.gob.mx,Luis AgustÌ_n RodrÌ_guez Torres,PAN,Sonora,arodriguezt01
9218422,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218422.jpg,teresa.lizarraga@congreso.gob.mx,Teresa de JesÌ¼s LizÌÁrraga Figueroa,PAN,Sonora,teresalizarraga
9218424,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218424.jpg,herminio.corral@congreso.gob.mx,Herminio Corral Estrada,PAN,Baja California Sur,herminiocorral
9218426,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218426.jpg,mariana.arambula@congreso.gob.mx,Mariana ArÌÁmbula MelÌ©ndez,PAN,Jalisco,Marianarambula
9218428,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218428.jpg,jose.barraza@congreso.gob.mx,JosÌ© Teodoro Barraza LÌ_pez,PAN,Baja California,JTeodoroBarraza
9218430,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218430.jpg,nadia.vega@congreso.gob.mx,Nadia Haydee Vega Olivas,PAN,Sinaloa,DipNadiaVegaO
9218433,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218433.jpg,,Ricardo Del Rivero MartÌ_nez,PAN,Durango,diputadospan
9218434,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218434.jpg,martha.jimenez@congreso.gob.mx,Martha Cristina JimÌ©nez MÌÁrquez,PAN,Chihuahua,diputadospan
9218436,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218436.jpg,rafael.valenzuela@congreso.gob.mx,Rafael Valenzuela Armas,PAN,Nayarit,lobovalenzuelaa
9218438,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218438.jpg,gina.cruz@congreso.gob.mx,Gina Andrea Cruz Blackledge,PAN,Baja California,diputadospan
9218440,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218440.jpg,jose.cortes@congreso.gob.mx,JosÌ© HernÌÁn CortÌ©s BerÌ¼men,PAN,Jalisco,HernanCortesB
9218450,diputado,"[{""legislator_post_sil"":""Presidente""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218450.jpg,alfredo.rodriguez@congreso.gob.mx,Alfredo Javier RodrÌ_guez  DÌÁvila,PAN,Nuevo Le&#xF3;n,FreddyRdzNL
9218452,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218452.jpg,mayra.enriquez@congreso.gob.mx,Mayra AngÌ©lica EnrÌ_quez Vanderkam,PAN,Guanajuato,MayraEnriquezV
9218454,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218454.jpg,armando.rivera@congreso.gob.mx,Armando Alejandro Rivera Castillejos,PAN,Quer&#xE9;taro,Armando_RiveraC
9218456,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218456.jpg,lorena.alfaro@congreso.gob.mx,Lorena del Carmen Alfaro GarcÌ_a,PAN,Guanajuato,LoreAlfaroG
9218458,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218458.jpg,baltazar.martinez@congreso.gob.mx,Baltazar MartÌ_nez Montemayor,PAN,Nuevo Le&#xF3;n,baltazar_mm
9218460,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",RP,/Archivos/Fotos/9218460.jpg,elva.valles@congreso.gob.mx,Elva Lidia Valles Olvera,PAN,Tamaulipas,ElvaValles
9218464,diputado,"[{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Secretario""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""},{""legislator_post_sil"":""Integrante""}]",MR,/Archivos/Fotos/9218464.jpg,arlette.munoz@congreso.gob.mx,Arlette Ivette MuÌ±oz Cervantes,PAN,Aguascalientes,ARLETTEMUNOZZ
